entity_text,entity_label,frequency
first,NUMERIC,64
one,NUMERIC,45
two,NUMERIC,37
four,NUMERIC,33
2026,NUMERIC,32
uk,LOCATION,28
today,NUMERIC,26
2025,NUMERIC,26
democrats,NATIONALITY,26
2024,NUMERIC,25
second,NUMERIC,25
three,NUMERIC,22
palestinian,NATIONALITY,22
australia,LOCATION,22
ted,PLAYER,22
india,LOCATION,21
five,NUMERIC,19
third,NUMERIC,18
england,LOCATION,18
wednesday,NUMERIC,18
japan,LOCATION,17
martin,PLAYER,16
world cup,COMPETITION,16
barghouti,PLAYER,16
thursday,NUMERIC,15
fai,CLUB,14
china,LOCATION,14
american,NATIONALITY,13
newcastle,CLUB,13
henry,PLAYER,13
indiana,LOCATION,13
espn,CLUB,12
friday,NUMERIC,12
u.s.,LOCATION,12
tuesday,NUMERIC,12
schmidt,PLAYER,12
fourth,NUMERIC,11
uefa,LOCATION,11
portage,LOCATION,11
dnc,CLUB,11
last year,NUMERIC,10
orlando,LOCATION,10
washington,LOCATION,10
morocco,LOCATION,10
larry price,PLAYER,10
fifa,CLUB,10
dhs,CLUB,10
joanna,PLAYER,10
kern,PLAYER,10
january,NUMERIC,9
six,NUMERIC,9
ohio state,CLUB,9
10,NUMERIC,9
price,PLAYER,9
canada,LOCATION,9
saudi arabia,LOCATION,9
smith,PLAYER,9
republicans,NATIONALITY,9
house,CLUB,9
lebanon,LOCATION,9
bonta,PLAYER,9
this year,NUMERIC,8
year,NUMERIC,8
ffa,CLUB,8
13,NUMERIC,8
21,NUMERIC,8
hurley,PLAYER,8
larry,PLAYER,8
the world cup,COMPETITION,8
indonesia,LOCATION,8
vietnam,LOCATION,8
olympics,COMPETITION,8
wales,LOCATION,8
myanmar,LOCATION,8
kate,PLAYER,8
byd,CLUB,8
perth,LOCATION,8
rupert,PLAYER,8
mls,CLUB,7
chicago,LOCATION,7
saturday,NUMERIC,7
this week,NUMERIC,7
english,NATIONALITY,7
half,NUMERIC,7
26,NUMERIC,7
2022,NUMERIC,7
2023,NUMERIC,7
eight,NUMERIC,7
morning,NUMERIC,7
20,NUMERIC,7
herdman,PLAYER,7
